127.0.0.1 - - [26/Jan/2022:09:03:35 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:03:35 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:03:35 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:03:35 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:09:03:35 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - - [26/Jan/2022:09:03:35 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:03:35 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:29:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:29:03 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:29:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:29:03 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:29:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:29:03 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:09:29:03 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - - [26/Jan/2022:09:29:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:29:03 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:29:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:29:03 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:29:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:29:03 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:09:29:03 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - - [26/Jan/2022:09:29:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:29:03 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:39:48 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:39:48 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:39:48 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:39:48 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:39:48 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:39:48 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:09:39:49 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - - [26/Jan/2022:09:39:49 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:39:49 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:39:49 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:39:49 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:39:49 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:39:49 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:09:39:49 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - - [26/Jan/2022:09:39:49 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:39:49 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:47:45 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:47:45 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:47:45 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:47:45 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:47:45 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:47:45 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:09:47:45 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - - [26/Jan/2022:09:47:45 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:47:45 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:47:46 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:47:46 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:47:46 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:47:46 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:09:47:46 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - - [26/Jan/2022:09:47:46 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:47:46 -0300] "GET /manager/text/ HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:51:22 -0300] "GET /fielcorresponsal/administration/reportes/agencias/movimientos/csv?agenciaId=112&servicioId=0&agenciaSucursalId=0&fechaInicio=11/12/2021&fechaFin=07/01/2022&tipoAgencia=0&comisionCNB=S&agenciaNombre=CASA%20OLGA HTTP/1.1" 500 5062
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:51:28 -0300] "GET /fielcorresponsal/home HTTP/1.1" 401 10430
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:51:34 -0300] "POST /fielcorresponsal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:51:37 -0300] "GET /fielcorresponsal/home HTTP/1.1" 200 28367
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:51:37 -0300] "GET /fielcorresponsal/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 404 5062
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:53:42 -0300] "GET /fielcorresponsal/loans HTTP/1.1" 200 15626
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:54:15 -0300] "GET /fielcorresponsal/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:54:19 -0300] "GET /fielcorresponsal/loans_payment HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:54:26 -0300] "GET /fielcorresponsal/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:54:26 -0300] "GET /fielcorresponsal/ HTTP/1.1" 200 10397
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:54:43 -0300] "POST /fielcorresponsal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:54:45 -0300] "GET /fielcorresponsal/home HTTP/1.1" 200 21678
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:54:53 -0300] "GET /fielcorresponsal/administration HTTP/1.1" 200 14862
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:54:55 -0300] "GET /fielcorresponsal/administration/reimpresiones HTTP/1.1" 200 30820
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:55:06 -0300] "GET /fielcorresponsal/administration/reportes HTTP/1.1" 200 75595
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:55:06 -0300] "GET /fielcorresponsal/administration/agencias/tipos/json HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:55:08 -0300] "GET /fielcorresponsal/administration/servicios/json HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:55:09 -0300] "GET /fielcorresponsal/administration/agencias/json HTTP/1.1" 200 191141
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:55:14 -0300] "GET /fielcorresponsal/administration/procesos HTTP/1.1" 200 15759
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:55:30 -0300] "GET /fielcorresponsal/administration/billing HTTP/1.1" 200 36083
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:55:39 -0300] "GET /fielcorresponsal/administration/billing/export/history/ HTTP/1.1" 200 101410
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:55:52 -0300] "POST /fielcorresponsal/administration/billing/export/history/generate HTTP/1.1" 200 101483
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:57:51 -0300] "GET /fielcorresponsal/administration/billing/task/ HTTP/1.1" 200 74215
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:57:58 -0300] "GET /fielcorresponsal/administration/billing/report/ HTTP/1.1" 200 27471
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:59:17 -0300] "GET /fielcorresponsal/administration/billing/report/generate?formato=PDF&facturadoraId=0&facturadoraNombre=&fechaInicio=26/01/2022&fechaFin=26/01/2022&monedaId=6900 HTTP/1.1" 200 50543
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:59:18 -0300] "POST /fielcorresponsal/administration/billing/export/history/generate HTTP/1.1" 500 8206
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:00:28 -0300] "GET /fielcorresponsal/administration/billing/report/generate?formato=PDF&facturadoraId=0&facturadoraNombre=&fechaInicio=26/01/2022&fechaFin=26/01/2022&monedaId=6900 HTTP/1.1" 200 50070
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:00:39 -0300] "GET /fielcorresponsal/administration/billing/report/generate?formato=XLSX&facturadoraId=0&facturadoraNombre=&fechaInicio=26/01/2022&fechaFin=26/01/2022&monedaId=6900 HTTP/1.1" 200 5353
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:01:00 -0300] "GET /fielcorresponsal/administration HTTP/1.1" 200 14862
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:01:04 -0300] "GET /fielcorresponsal/westernunion HTTP/1.1" 200 15967
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:01:11 -0300] "GET /fielcorresponsal/westernunion/commissions HTTP/1.1" 200 74653
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:01:28 -0300] "GET /fielcorresponsal/administration HTTP/1.1" 200 14862
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:01:31 -0300] "GET /fielcorresponsal/administration/reimpresiones HTTP/1.1" 200 30820
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:02:33 -0300] "GET /fielcorresponsal/home HTTP/1.1" 200 20190
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:02:35 -0300] "GET /fielcorresponsal/administration HTTP/1.1" 200 14862
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:02:37 -0300] "GET /fielcorresponsal/administration/reportes HTTP/1.1" 200 75595
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:02:37 -0300] "GET /fielcorresponsal/administration/agencias/tipos/json HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:02:40 -0300] "GET /fielcorresponsal/administration/servicios/json HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:02:41 -0300] "GET /fielcorresponsal/administration/agencias/json HTTP/1.1" 200 191141
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:02:57 -0300] "GET /fielcorresponsal/administration HTTP/1.1" 200 14862
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:03:01 -0300] "GET /fielcorresponsal/administration/reportes HTTP/1.1" 200 75595
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:03:01 -0300] "GET /fielcorresponsal/administration/agencias/tipos/json HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:03:04 -0300] "GET /fielcorresponsal/administration/agencias/json HTTP/1.1" 200 191141
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:03:05 -0300] "GET /fielcorresponsal/administration/servicios/json HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:03:15 -0300] "GET /fielcorresponsal/administration/reportes/agencias/movimientos/resumen/pdf?agenciaId=0&servicioId=0&agenciaSucursalId=0&fechaInicio=26/01/2022&fechaFin=26/01/2022&tipoAgencia=0&comisionCNB=S&agenciaNombre= HTTP/1.1" 500 18758
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:03:52 -0300] "GET /fielcorresponsal/administration HTTP/1.1" 200 14862
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:03:54 -0300] "GET /fielcorresponsal/administration/procesos HTTP/1.1" 200 15759
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:03:55 -0300] "GET /fielcorresponsal/administration HTTP/1.1" 200 14862
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:04:36 -0300] "GET /fielcorresponsal/administration HTTP/1.1" 200 14862
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:11:19 -0300] "GET /fielcorresponsal/administration/reimpresiones HTTP/1.1" 200 30820
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:11:55 -0300] "GET /fielcorresponsal/administration HTTP/1.1" 200 14862
127.0.0.1 - - [26/Jan/2022:10:14:20 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:14:20 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:10:14:20 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:14:20 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:10:14:20 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:14:20 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:10:14:20 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - - [26/Jan/2022:10:14:29 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:14:29 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:10:14:29 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:14:29 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:10:14:29 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:14:29 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:10:14:29 -0300] "GET /manager/text/list HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:19:45 -0300] "GET /fielcorresponsal/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:19:45 -0300] "GET /fielcorresponsal/ HTTP/1.1" 200 10397
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:19:50 -0300] "POST /fielcorresponsal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:19:50 -0300] "POST /fielcorresponsal/login HTTP/1.1" 200 10464
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:19:55 -0300] "POST /fielcorresponsal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:19:58 -0300] "GET /fielcorresponsal/home HTTP/1.1" 200 28351
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:19:58 -0300] "GET /fielcorresponsal/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 404 5062
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:21:02 -0300] "GET /fielcorresponsal/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:21:02 -0300] "GET /fielcorresponsal/ HTTP/1.1" 200 10397
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:21:08 -0300] "POST /fielcorresponsal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:21:09 -0300] "GET /fielcorresponsal/home HTTP/1.1" 200 24143
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:21:19 -0300] "GET /fielcorresponsal/settings/change_password HTTP/1.1" 200 18648
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:21:24 -0300] "GET /fielcorresponsal/home HTTP/1.1" 200 24144
127.0.0.1 - - [26/Jan/2022:10:23:21 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:23:21 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:10:23:21 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:23:21 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:10:23:21 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:23:21 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:10:23:21 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:23:21 -0300] "GET /manager/text/ HTTP/1.1" 200 42
